,shop_name,STREET,LOCALITY,REGION,POSTAL_CODE
235,Cherry Bomb Coffee,"79 Roncesvalles Ave, ","Toronto, ","ON, ",M6R 2K6
236,Chocolate Heaven Cafe Company,"974 Danforth Ave, ","Toronto, ","ON, ",M4J 1L9
237,Chris Coffee Shop,"1 Valleybrook Dr, ","North York, ","ON, ",M3B 2S7
238,CI Gusta Frozen Yogurt Cafe,"555 Essa Rd, ","Barrie, ","ON, ",L4N 6A9
239,City Cafe,"2375 Steeles Ave W, ","North York, ","ON, ",M3J 3A8
240,Clark Food Svc,"7-11 Holland Dr, ","Bolton, ","ON, ",L7E 1G7
241,Cleo's Café,"1754 Victoria Park Ave, ","North York, ","ON, ",M1R 1R4
242,CLOSED - Second Cup Coffee Co.,"163 King Street East, ","Toronto, ","ON, ",M5A 1J4
243,CLOSED - Second Cup Coffee Co. featuring Pinkberry Frozen Yogurt,"518 Eglinton Ave. West, ","Toronto, ","ON, ",M5N 1A5
244,CLOSED - Second Cup Coffee Co. featuring Pinkberry Frozen Yogurt,"1703 Avenue Rd, ","North York, ","ON, ",M5M 3Y3
245,Clove Apple Café,"1405 Queen St W, ","Toronto, ","ON, ",M6K 1M3
246,Club Coffee L P,"55 Carrier Dr, ","Etobicoke, ","ON, ",M9W 5V9
247,Club Coffee L.p.,"101 Claireville Dr, ","Etobicoke, ","ON, ",M9W 6K9
248,Clube Da Zona,"1135A College St, ","Toronto, ","ON, ",M6H 1B5
249,Cocoa Berry Cupcakes & Coffee,"Non, ","Non, ","ON, ",Non
250,Cocoberry Cafe Dixie,"2280 Dixie Road, ","Mississauga, ","ON, ",L4Y 1Z4
251,Coffee & All That Jazz,"72 Howard Park Ave, ","Toronto, ","ON, ",M6R 1V6
252,Coffee & Deli Delight,"2180 Yonge St, ","Toronto, ","ON, ",M4S 2B9
253,Coffee And Clothing,"348 Pape Ave, ","Toronto, ","ON, ",M4M 2X1
254,Coffee Court,"60 Queen St W, ","Toronto, ","ON, ",M5H 2M3
255,Coffee Crate,"2111 Dundas St W, ","Toronto, ","ON, ",M6R 1X1
256,Coffee Culture,"2060 Ellesmere Rd, ","Toronto, ","ON, ",M1H 2V6
257,Coffee Dome & Donuts,"2223 Kingston Rd, ","Scarborough, ","ON, ",M1N 1T8
258,Coffee Galore,"Non, ","TORONTO, ","ON, ",Non
259,Coffee Galore,"11-100 The East Mall, ","Etobicoke, ","ON, ",M8Z 5X2
260,Coffee Here,"3430 Finch Ave E, ","Scarborough, ","ON, ",M1W 2R5
261,Coffee Life,"676 Finch Ave E, ","Toronto, ","ON, ",M2K 2E6
262,Coffee On The Go,"141 Bay St, ","Toronto, ","ON, ",M5J 1J5
263,Coffee Prime,"4660 Kingston Rd, ","Scarborough, ","ON, ",M1E 2P9
264,Coffee Public,"800 Bay St, ","Toronto, ","ON, ",M5S 3A9
265,Coffee Supreme Bistro,"40 University Ave, ","Toronto, ","ON, ",M5J 1T1
266,Coffee Supreme Bistro,"40 University Avenue, ","Toronto, ","ON, ",M5J 1T1
267,Coffee Time,"2424 Bloor St W, ","Toronto, ","ON, ",M6S 1P9
268,Coffee Time,"1046 Pape Ave, ","East York, ","ON, ",M4K 3W2
269,Coffee Time,"3622 Dufferin St, ","North York, ","ON, ",M3K 1N7
270,Coffee Time,"28408 48th Hwy, ","Toronto, ","ON, ",L0E 1N0
271,Coffee Time,"1594 The Queensway, ","Etobicoke, ","ON, ",M8Z 1V1
272,Coffee Time,"2146 Danforth Ave, ","Toronto, ","ON, ",M4C 1J9
273,Coffee Time,"1005 Lansdowne Ave, ","Toronto, ","ON, ",M6H 4E9
274,Coffee Time,"1575 Lawrence Ave W, ","North York, ","ON, ",M6L 1C3
275,Coffee Time,"1647 Queen St W, ","Toronto, ","ON, ",M6R 1A9
276,Coffee Time,"1287 Bloor St W, ","Toronto, ","ON, ",M6H 1N7
277,Coffee Time,"8540 Keele St, ","Concord, ","ON, ",L4K 2N2
278,Coffee Time,"839 Queen St W, ","Toronto, ","ON, ",M6J 1G4
279,Coffee Time,"3671 Bathurst St, ","North York, ","ON, ",M6A 2E6
280,Coffee Time,"600 Bloor St W, ","Toronto, ","ON, ",M6G 1K4
281,Coffee Time,"2615 Eglinton Ave W, ","York, ","ON, ",M6M 1T3
282,Coffee Time,"5-1620 Birchmount Rd, ","Scarborough, ","ON, ",M1P 2H6
283,Coffee Time,"1471 Eglinton Ave W, ","York, ","ON, ",M6E 2G6
284,Coffee Time,"3701 Chesswood Dr, ","North York, ","ON, ",M3J 2P6
285,Coffee Time,"2195 Midland Ave, ","Toronto, ","ON, ",M1P 3E7
286,Coffee Time,"2788 Lake Shore Blvd W, ","Etobicoke, ","ON, ",M8V 1H5
287,Coffee Time,"1402 Queen St W, ","Toronto, ","ON, ",M6K 1L9
288,Coffee Time,"4-3003 Danforth Ave, ","Toronto, ","ON, ",M4C 1M9
289,Coffee Time,"1213 Bayview Ave, ","Toronto, ","ON, ",M4G 2Z8
290,Coffee Time,"222 The Esplanade, ","Toronto, ","ON, ",M5A 4M8
291,Coffee Time,"1577 Danforth Ave, ","Toronto, ","ON, ",M4C 1H7
292,Coffee Time,"1008 Wilson Ave, ","North York, ","ON, ",M3K 1G6
293,Coffee Time,"2688 Dundas St W, ","Toronto, ","ON, ",M6P 1Y2
294,Coffee Time,"142 Parliament St, ","Toronto, ","ON, ",M5A 2Z1
295,Coffee Time,"1448 Lawrence Ave E, ","North York, ","ON, ",M4A 2V6
296,Coffee Time,"2788 Lakeshore Blvd W, ","Toronto, ","ON, ",M5V 1H5
297,Coffee Time,"1263 Weston Rd, ","Toronto, ","ON, ",M6M 4P9
298,Coffee Time,"871 Kipling Ave, ","Etobicoke, ","ON, ",M8Z 5H1
299,Coffee Time,"45 Overlea Blvd, ","East York, ","ON, ",M4H 1C3
300,Coffee Time,"731 Broadview Ave, ","Toronto, ","ON, ",M4K 2P6
301,Coffee Time Donuts,"1090 Don Mills Rd, ","North York, ","ON, ",M3C 3R6
302,Coffee Time Donuts,"599 Yonge St, ","Toronto, ","ON, ",M4Y 1Z4
303,Coffee Time Donuts,"1923 Eglinton Ave E, ","Scarborough, ","ON, ",M1L 2M3
304,Coffee Time Donuts,"2310 Sheppard Ave W, ","North York, ","ON, ",M9M 1M2
305,Coffee Time Donuts,"1327 Martin Grove Rd, ","Etobicoke, ","ON, ",M9W 4X5
306,Coffee Time Donuts,"141 Adelaide St W, ","Toronto, ","ON, ",M5H 3L5
307,Coffee Time Donuts,"1620 Albion Rd, ","Etobicoke, ","ON, ",M9V 4B4
